SANGER_ID,SPECIMEN_ID,DATE_OF_PRESERVATION,YEAR_OF_COLLECTION,MONTH_OF_COLLECTION,MONTH_YEAR,COLLECTION_LOCATION,DECIMAL_LATITUDE,DECIMAL_LONGITUDE,SEX,OUTDOORS_INDOORS,SPECIFIC_TIME_OF_COLLECTION,DURATION_OF_COLLECTION,COLLECTION_METHOD,BLOOD_MEAL,COLLECTOR_SAMPLE_ID,SPECIES_COLLECTED,PLASMODIUM_DETECTED,SPOROZOITE_INFECTIVITY,PLASMODIUM_SPECIES_AVAILABLE,CONTAMINATION_RISK,NN_ASSIGNMENT,VAE_SPECIES,SPECIES_CALL,CALL_METHOD
ANOSPP13104932,KAJO_011_C11,01/06/2015,2015,6,6.2015,UGANDA|KAYONJO,0.76135098,32.963745,F,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,Y,U.KJ.17.400,Anopheles_gambiae,N,NA,NONE,Medium,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104940,KAJO_011_C12,01/10/2015,2015,10,10.2015,UGANDA|KAYONJO,0.76135098,32.963745,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.468,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104860,KAJO_011_C2,01/12/2014,2014,12,12.2014,UGANDA|KANSAMBWE,-0.08638,32.58605,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.NSZ.ASP.12-14.004,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104868,KAJO_011_C3,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76135098,32.963745,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.557,Anopheles_gambiae,N,NA,NONE,Medium,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104876,KAJO_011_C4,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76142902,32.963514,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.417,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104884,KAJO_011_C5,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76600797,32.974791,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.KJ.17.462,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104892,KAJO_011_C6,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76600797,32.974791,F,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,Y,U.KJ.17.434,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104900,KAJO_011_C7,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76135098,32.963745,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.KJ.17.451,Anopheles_gambiae,N,NA,NONE,Low,Y,NA,Anopheles_gambiae_complex,NN_INTERMEDIATE
ANOSPP13104908,KAJO_011_C8,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.75683699,32.972648,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.KJ.17.495,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104916,KAJO_011_C9,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76471204,32.97493,F,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,Y,U.KJ.17.414,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
